No,開催日,イベント名,会場
1,2025/02/15,ハルジオンが咲く頃に,Veats Shibuya
2,2025/02/16,ハルニシオン アフターパーティー,Shibuya Milkyway
3,2025/02/18,SHIBUYA STADIUM,SHIBUYA WWWX
4,2025/02/21,IDOL ∞ INFINITY vol.4,白金高輪SELENE b2
5,2025/02/22,"AOAO主催公演""ブルーセッション EX""",東京キネマ倶楽部
6,2025/02/24,すこふぇす,渋谷近未来会館
7,2025/03/01,MARQUEE祭mini Vol.242,Spotify O-nest
8,2025/03/02,KAWAII PARTY,渋谷VIDENT
9,2025/03/02,緊急無銭「そうだ、WESTに行こう」,Spotify O-WEST
10,2025/03/03,Tokyo & Night!! - HINAfes,渋谷音楽堂 / eggman
11,2025/03/08,IDORISE!! FESTIVAL 2025,Spotify O-Crest
12,2025/03/09,IDORISE!! FESTIVAL 2025,SHIBUYA RING
13,2025/03/13,HEROINES WHITEDAY 2025,KANDA SQUARE HALL
14,2025/03/15,Spring Tour 2025 「gradation」名古屋,名古屋ell.FITS ALL
15,2025/03/16,ハルニシオン miim ver.発売記念リリースイベント,タワーレコード名古屋パルコ店
16,2025/03/22,福間彩音生誕祭,Harajuku RUIDO
17,2025/03/22,長浜瑠花生誕祭,Harajuku RUIDO
18,2025/03/23,楽演祭EXTRA -春のアイドル祭り2025-,ところざわサクラタウン
19,2025/03/25,「PLEASURE TIME」#38,SHIBUYA PLEASURE PLEASURE
20,2025/03/30,ソドム in O-nest,Spotify O-nest
21,2025/03/31,ハルニシオン miim ver.発売記念リリースイベント,タワーレコード渋谷店
22,2025/04/04,渋谷伝説,duo MUSIC EXCHANGE
23,2025/04/05,アンスぱーく！！！！！！！よろしくねー！,品川インターシティホール
24,2025/04/06,LEADING NEX,表参道GROUND
25,2025/04/06,ReiDOL vol.1,渋谷ストリーム
26,2025/04/09,HYPE IDOL！× AGE FES!,品川ステラボール
27,2025/04/10,MARQUEE祭 Vol.158,Spotify O-WEST
28,2025/04/13,ハルニシオン miim ver.発売記念リリースイベント,仙台E BeanS
29,2025/04/13,Spring Tour 2025 「gradation」仙台,仙台MACANA
